RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 1,10,Esmeralda,Los Andes,El Villorrio,San Esteban,15,,,,,,,1001,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,1,Esmeralda,Los Andes,Villa Trasandino,Los Andes,2,,,,,,,801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,2,Esmeralda,Los Andes,El Mirador,Los Andes,3,,,,,,,801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,3,Esmeralda,Los Andes,Los Olmos,San Esteban,4,,,,,,,1001,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,4,Esmeralda,Los Andes,Tocornal,San Esteban,5,,,,,,,851,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,5,Esmeralda,Los Andes,Foncea,San Esteban,8,,,,,,,1801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,6,Esmeralda,Los Andes,Av. Santa Teresa,San Esteban,7,,,,,,,1401,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,7,Esmeralda,Los Andes,La Chaparrina,San Esteban,8,,,,,,,1801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,8,Esmeralda,Los Andes,San Rejis,San Esteban,11,,,,,,,1801,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
3,ASOC.GREMIAL.TAXIS.COLEC.ATACSE,Los Andes,Ruta 2,9,Esmeralda,Los Andes,La Castrina,San Esteban,13,,,,,,,1201,,,,,,21.01,23.00,557,14/03/17,COLECTIVO RURAL,
