DATOS EMPRESA,,,TRAMOS A COBRAR,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA ADULTO MAYOR,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS. Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,9,2,AV.URMENETA,LIMACHE,PELUMPEN,OLMUE,18,500,200,250,,,,,,,,,,06.30,23.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,10,1,AV.URMENETA,LIMACHE,21 DE MAYO,QUILLOTA,36,600,240,300,,,,,,,,,,06.00,22.15,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,10,2,AV.URMENETA,LIMACHE,JOSÉ J. PEREZ,CALERA,46,700,280,350,,,,,,,,,,06.00,22.15,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,10,1,AV. VICTORIA,LIMACHE,PALMIRA ROMANO NORTE,LIMACHE ,12,350,140,175,,,,,,,,,,05.45,22.15,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,10,2,AV. VICTORIA,LIMACHE,21 DE MAYO,QUILLOTA,30,600,240,300,,,,,,,,,,05.45,22.15,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,10,3,AV. VICTORIA,LIMACHE,JOSÉ J. PEREZ,LA CALERA,45,900,360,450,,,,,,,,,,05.45,22.15,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,11,1,EL MAQUI,LIMACHE,J. T. URMENETA,LIMACHE,15,500,200,250,,,,,,,,,,06.30,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,11,2,J. T. URMENETA ,LIMACHE,SANTA ROSA,LIMACHE,15,400,160,200,,,,,,,,,,07.00,22.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,12,1,VILLA QUERONQUE,LIMACHE,AV. VICTORIA,LIMACHE,12,350,140,175,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,13,1,LLIU- LLIU,LIMACHE,LOS LEONES,LIMACHE,13,350,140,175,,,,,,,,,,07.00,21.00,3482,26/11/19
500000,SERVICIOS DE TRANSP. AGDABUS S.A.,Limache,13,2,LLIU- LLIU,LIMACHE,CALLE O'HIGGINS,LIMACHE,28,700,280,350,,,,,,,,,,07.00,21.00,3482,26/11/19
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 1,1,Cabildo,Cabildo ,San José,Cabildo,8,300,350,,,,,,,,,,,07.45,21.00,2351,22/08/16
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 2,1,Chincolco,Petorca,Petorca,Petorca,10,1000,400,,,,,,,,,,,06.15,18.00,2351,22/08/16
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 2,2,Chincolco,Petorca,Las Palmas,Petorca,40,2000,800,,,,,,,,,,,06.15,17.30,2351,22/08/16
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 2,3,Chincolco,Petorca,Tilama,Los Vilos,70,2500,1700,,,,,,,,,,,06.15,17.00,2351,22/08/16
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 3,1,Cabildo,Cabildo ,Artificio,Cabildo,15,1000,400,,,,,,,,,,,06.15,18.00,2351,22/08/16
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 3,2,Cabildo,Cabildo ,Las Palmas,Petorca,40,1000,800,,,,,,,,,,,06.15,17.30,2351,22/08/16
500001,Jorge Roberto Stuardo Aracena,Cabildo,Ruta 3,3,Cabildo,Cabildo ,Tilama,Los Vilos,70,2500,1700,,,,,,,,,,,06.15,17.00,2351,22/08/16
500002,TRANSPORTES EL SENDERO S. A.,Nogales,,,,,,,,,33%,,,,,,,,,,,06.30,22.45,2065,03/07/18
500002,TRANSPORTES EL SENDERO S. A.,Nogales,"RUTAS 1,2,3,4",1,21 DE MAYO,QUILLOTA,ALBERDI,QUILLOTA,6,460,150,,,,,,,,,,,06.30,22.45,2065,03/07/18
500002,TRANSPORTES EL SENDERO S. A.,Nogales,"RUTAS 1,2,3,4",2,PEDRO FELIX VICUÑA,NOGALES,HUELLACANAL/LOS PAJARITOS,NOGALES,6,460,150,,,,,,,,,,,06.30,22.45,2065,03/07/18
500004,Luis A. Gaete Rodriguez,Llay-Llay,Ruta 5,1,Villa Sor Teresa,Llay-Llay,Villa Sor Teresa,Llay-Llay,20,960,320,320,,,,,,,,,,07.15,19.30,2052,27/06/19
500004,Luis A. Gaete Rodriguez,Llay-Llay,Ruta 5,2,Villa Sor Teresa,Llay-Llay,Villa Santa Teresa,Llay-Llay,10,600,200,200,,,,,,,,,,07.15,19.30,2052,27/06/19
500017,Sonia Elenila Fernández Jiménez,Santa María,RUTA 1,1,Plaza de Sta. Maria,Santa Maria,Centenario,Los Andes,30,1400,550,,,,,,,,,,,7:00,21.30,1855,06/09/22
500017,Sonia Elenila Fernández Jiménez,Santa María,RUTA 1,1,Plaza de Sta. Maria,Santa Maria,Cruce La Florida,San Esteban,20,1100,440,,,,,,,,,,,7:00,21.30,1855,06/09/22
500017,Sonia Elenila Fernández Jiménez,Santa María,RUTA 1,2,Las Cadenas,Santa Maria,Centenario,Los Andes,20,1100,440,,,,,,,,,,,7:00,21.30,1855,06/09/22
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 1,,Calera,Calera ,Calera,Calera,,1400,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 2,,Calera,Calera ,Calera,Calera,,1400,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 3,,Calera,Calera ,Calera,Calera,,1400,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 4,,Calera,Calera ,Calera,Calera,,1400,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 5,,Calera,Calera ,Calera,Calera,,1500,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 6,,Calera,Calera ,Calera,Calera,,2000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 7,,Calera,Calera ,Calera,Calera,,2000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 8,,Calera,Calera ,Calera,Calera,,2000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 9,,Calera,Calera ,Calera,Calera,,2400,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 10,,Calera,Calera ,Calera,Calera,,2600,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 11,,Calera,Calera ,Calera,Calera,,3000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 12,,Calera,Calera ,Calera,Calera,,3000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 13,,Calera,Calera ,Calera,Calera,,3000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 14,,Calera,Calera ,Calera,Calera,,3200,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 15,,Calera,Calera ,Calera,Calera,,3500,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 16,,Calera,Calera ,Calera,Calera,,700,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 17,,Calera,Calera ,Calera,Calera,,700,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 18,,Calera,Calera ,Calera,Calera,,1400,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 19,,Calera,Calera ,Calera,Calera,,1800,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 20,,Calera,Calera ,Calera,Calera,,2000,,,,,,,,,,,,06.45,19.30,,
500018,CARLOS IVAN PIÑONES TAPIA,Calera,tarifa 21,,Calera,Calera ,Calera,Calera,,2000,,,,,,,,,,,,06.45,19.30,,
500019,Servicios de Transportes Ciferal Express S.A,Limache,1,1,"Galvarino, Playa Ancha",Valparaíso ,"Calera, circunvalacion",La Calera,65,1600,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,1,2,"Galvarino, Playa Ancha",Valparaíso ,La Cruz,La Calera,56,1600,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,5,3,"Galvarino, Playa Ancha",Valparaíso ,Quillota,Quillota,50,1500,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,5,4,"Galvarino, Playa Ancha",Valparaíso ,San Pedro,Quillota,50,1500,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,5,"Galvarino, Playa Ancha",Valparaíso ,Limache,Limache,40,1100,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,6,"Galvarino, Playa Ancha",Valparaíso ,Valle Verde,Limache,32,1000,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,7,"Galvarino, Playa Ancha",Valparaíso ,Quebrada Escobar,Limache,30,1000,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,8,"Galvarino, Playa Ancha",Valparaíso ,"V.Alemana, Peñablanca",Villa Alemana,28,750,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,9,"Galvarino, Playa Ancha",Valparaíso ,Quilpue - Belloto,Quilpué,22,600,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,10,"Galvarino, Playa Ancha",Valparaíso ,Viña del Mar,Viña del Mar,10,450,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,11,"Galvarino, Playa Ancha",Valparaíso ,Valparaiso,Valparaiso,9,400,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,13,Viña del Mar,Viña del Mar,Quilpue - Belloto,Quilpue,20,600,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,14,Viña del Mar,Viña del Mar,"V.Alemana, Peñablanca",Villa Alemana,27,750,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,15,Viña del Mar,Viña del Mar,Quebrada Escobar,Limache,29,1000,,,,,,,,,,,,06.00,23.00,2993,05/11/13
500019,Servicios de Transportes Ciferal Express S.A,Limache,2,16,Viña del Mar,Viña del Mar,Valle Verde,Limache,31,1000,,,,,,,,,,,,06.00,23.00,2993,05/11/13
